org_name, postcode, latitude, longitude
MARKET HARBOROUGH MED.CTR,LE16 9BX,52.4771,-0.9248
NORTHERN DEVON HEALTHCARE NHS TRUST,EX31 4JB,51.0920,-4.0510
ASHFORD WALK-IN-CENTRE,TW15 3FE,51.4321,-0.4567
PUTNOE MEDICAL CENTRE WALK IN CENTRE,MK41 9JE,52.1481,-0.4391
NORWICH PRACTICES LTD,NR1 1RB,52.6266,1.3012
LATHAM HOUSE MEDICAL PRACTICE,LE13 1NX,52.7650,-0.8860
SOUTHPORT AND ORMSKIRK HOSPITAL NHS TRUST,PR8 6ZS,53.6270,-2.9858
WORKINGTON HEALTH LIMITED,CA14 2RW,54.6427,-3.5513
GLOUCESTERSHIRE HEALTH AND CARE NHS FOUNDATION TRUST,GL3 4AW,51.8592,-2.2250
DORSET HEALTHCARE UNIVERSITY NHS FOUNDATION TRUST,BH1 4JQ,50.7293,-1.8415
MORETON HEALTH MINOR INJURY,CH46 7XA,53.3969,-3.1134
NORTH MIDDLESEX UNIVERSITY HOSPITAL NHS TRUST,N18 1QX,51.6145,-0.0738
KENT COMMUNITY HEALTH NHS FOUNDATION TRUST,TN25 4AZ,51.1324,0.8786
GLOUCESTERSHIRE HOSPITALS NHS FOUNDATION TRUST,GL1 3NN,51.8642,-2.2381
ERDINGTON GP HEALTH & WELLBEING WIC,B23 6SJ,52.5236,-1.8452
SKELMERSDALE WALK IN CENTRE,WN8 6LJ,53.5490,-2.7750
HUMBER TEACHING NHS FOUNDATION TRUST,HU3 5QE,53.7420,-0.3847
PARKFIELD (H) MINOR EMERGENCY,CH62 5HS,53.3599,-2.9985
BECKENHAM BEACON UCC,BR3 3QL,51.4082,-0.0258
MIRIAM MINOR EMERGENCY,CH41 8DB,53.3986,-3.0477
LOUGHBOROUGH URGENT CARE CENTRE,LE11 5JY,52.7735,-1.2246
YATE WEST GATE CENTRE,BS37 4AX,51.5405,-2.4142
PAULTON MEMORIAL HOSPITAL,BS39 7SD,51.3006,-2.4938
BADGER LTD,SS15 4DB,51.5877,0.4170
HULL UNIVERSITY TEACHING HOSPITALS NHS TRUST,HU3 2JZ,53.7446,-0.3353
THE PINN UNREGISTERED WIC,HA5 3EE,51.5931,-0.3826
THE WALTON CENTRE NHS FOUNDATION TRUST,L9 7LJ,53.4665,-2.9310
MID ESSEX HOSPITAL SERVICES NHS TRUST,CM1 7ET,51.7652,0.4690
LINCOLNSHIRE COMMUNITY HEALTH SERVICES NHS TRUST,LN5 7JH,53.2247,-0.5352
WHITTINGTON HEALTH NHS TRUST,N19 5NF,51.5665,-0.1395
LIVERPOOL WOMEN'S NHS FOUNDATION TRUST,L8 7SS,53.3985,-2.9610
PORTSMOUTH HOSPITALS NHS TRUST,PO6 3LY,50.8529,-1.0661
OAKHAM,LE15 6NT,52.6708,-0.7375
LLR EA - THE MERLYN VAZ HEALTH & SOCIAL CARE CENTRE,LE5 3GH,52.6375,-1.1072
MELTON MOWBRAY,LE13 1GH,52.7659,-0.8869
ROSSENDALE MINOR INJURIES UNIT,BB4 7PL,53.7032,-2.2856
THE DUDLEY GROUP NHS FOUNDATION TRUST,DY1 2HQ,52.5202,-2.0727
HERTFORDSHIRE COMMUNITY NHS TRUST,AL7 1BW,51.8014,-0.1946
OADBY,LE2 5PF,52.5981,-1.0839
THE ROTHERHAM NHS FOUNDATION TRUST,S60 2UD,53.4139,-1.3429
NORTH EAST LONDON NHS FOUNDATION TRUST,RM13 8GQ,51.5186,0.1711
SOUTH WEST YORKSHIRE PARTNERSHIP NHS FOUNDATION TRUST,S71 5AS,53.5494,-1.4409
HARROGATE AND DISTRICT NHS FOUNDATION TRUST,HG2 7SX,53.9837,-1.5253
WESTERN SUSSEX HOSPITALS NHS FOUNDATION TRUST,BN11 2DH,50.8168,-0.3643
OXFORD HEALTH NHS FOUNDATION TRUST,OX4 4XN,51.7166,-1.2193
WALSALL HEALTHCARE NHS TRUST,WS2 9PS,52.5853,-1.9840
CHESTERFIELD ROYAL HOSPITAL NHS FOUNDATION TRUST,S44 5BL,53.2333,-1.3833
CLACTON HOSPITAL,CO15 1LH,51.7856,1.1482
LIVERPOOL HEART AND CHEST HOSPITAL NHS FOUNDATION TRUST,L14 3PE,53.4194,-2.8917
UNITED LINCOLNSHIRE HOSPITALS NHS TRUST,LN2 5QY,53.2340,-0.5120
CALDERDALE AND HUDDERSFIELD NHS FOUNDATION TRUST,HD3 3EA,53.6551,-1.8220
SOUTH WARWICKSHIRE NHS FOUNDATION TRUST,CV34 5BW,52.2903,-1.5836
FRYATT HOSPITAL,CO12 4NR,51.9372,1.2605
SHERWOOD FOREST HOSPITALS NHS FOUNDATION TRUST,NG17 4JL,53.1270,-1.2610
ASSURA READING LLP,RG2 9EH,51.4083,-0.9631
THE PRINCESS ALEXANDRA HOSPITAL NHS TRUST,CM20 1QX,51.7712,0.0853
ROYAL DEVON AND EXETER NHS FOUNDATION TRUST,EX2 5DW,50.7168,-3.5064
CHELSEA AND WESTMINSTER HOSPITAL NHS FOUNDATION TRUST,SW10 9NH,51.4846,-0.1783
DERBYSHIRE COMMUNITY HEALTH SERVICES NHS FOUNDATION TRUST,S42 7JE,53.2530,-1.4750
WORCESTERSHIRE ACUTE HOSPITALS NHS TRUST,WR5 1DD,52.1896,-2.1907
THE NEWCASTLE UPON TYNE HOSPITALS NHS FOUNDATION TRUST,NE7 7DN,55.0076,-1.5829
FIRST COMMUNITY HEALTH AND CARE CIC,RH1 6DS,51.2298,-0.1681
TORBAY AND SOUTH DEVON NHS FOUNDATION TRUST,TQ2 7AA,50.4919,-3.5356
TETBURY HOSPITAL TRUST LTD,GL8 8XB,51.6352,-2.1547
EAST LANCASHIRE HOSPITALS NHS TRUST,BB2 3HH,53.7316,-2.4765
SOUTH WESTERN AMBULANCE SERVICE NHS FOUNDATION TRUST,BS15 1PX,51.4707,-2.5096
DARTFORD AND GRAVESHAM NHS TRUST,DA2 8DA,51.4343,0.2603
MARKET HARBOROUGH,LE16 7AF,52.4776,-0.9205
MANCHESTER UNIVERSITY NHS FOUNDATION TRUST,M13 9WL,53.4616,-2.2252
BARNSLEY HOSPITAL NHS FOUNDATION TRUST,S75 2EP,53.5591,-1.4965
BRISTOL COMMUNITY HEALTH,BS4 2UH,51.4291,-2.5665
CAMBRIDGE UNIVERSITY HOSPITALS NHS FOUNDATION TRUST,CB2 0QQ,52.1746,0.1419
DHU HEALTH CARE C.I.C,DE21 6BF,52.9146,-1.4281
ALDER HEY CHILDREN'S NHS FOUNDATION TRUST,L12 2AP,53.4205,-2.8968
ROYAL UNITED HOSPITALS BATH NHS FOUNDATION TRUST,BA1 3NG,51.3917,-2.3910
COUNTESS OF CHESTER HOSPITAL NHS FOUNDATION TRUST,CH2 1UL,53.2086,-2.8986
GREAT WESTERN HOSPITALS NHS FOUNDATION TRUST,SN3 6BB,51.5490,-1.7550
DORSET COUNTY HOSPITAL NHS FOUNDATION TRUST,DT1 2JY,50.7127,-2.4456
HERTS URGENT CARE (ASCOTS LANE),AL7 4HL,51.7986,-0.1852
WYE VALLEY NHS TRUST,HR1 2ER,52.0615,-2.7144
LUTON AND DUNSTABLE UNIVERSITY HOSPITAL NHS FOUNDATION TRUST,LU4 0DZ,51.8940,-0.4740
HAMPSHIRE HOSPITALS NHS FOUNDATION TRUST,RG24 9NA,51.2845,-1.1022
BUCKINGHAMSHIRE HEALTHCARE NHS TRUST,HP21 8AL,51.8075,-0.8086
BRACKNELL URGENT CARE CENTRE WIC,RG12 9RT,51.4083,-0.7539
GUY'S AND ST THOMAS' NHS FOUNDATION TRUST,SE1 9RT,51.5035,-0.0869
BASILDON AND THURROCK UNIVERSITY HOSPITALS NHS FOUNDATION TRUST,SS16 5NL,51.5636,0.4567
UNIVERSITY HOSPITALS OF LEICESTER NHS TRUST,LE1 9WW,52.6323,-1.1249
MID YORKSHIRE HOSPITALS NHS TRUST,WF1 4DG,53.6956,-1.4879
BRADFORD TEACHING HOSPITALS NHS FOUNDATION TRUST,BD9 6RJ,53.8069,-1.7855
GATESHEAD HEALTH NHS FOUNDATION TRUST,NE9 6SX,54.9366,-1.5853
YORK TEACHING HOSPITAL NHS FOUNDATION TRUST,YO30 4RY,53.9856,-1.0936
NOTTINGHAM UNIVERSITY HOSPITALS NHS TRUST,NG5 1PB,52.9850,-1.1650
BARKING HAVERING AND REDBRIDGE UNIVERSITY HOSPITALS NHS TRUST,RM7 0AG,51.5744,0.1801
ST HELENS AND KNOWSLEY TEACHING HOSPITALS NHS TRUST,WA9 3DA,53.4390,-2.7362
NORTHERN LINCOLNSHIRE AND GOOLE NHS FOUNDATION TRUST,DN33 2BA,53.5461,-0.0957
THE QUEEN ELIZABETH HOSPITAL, KING'S LYNN, NHS FOUNDATION TRUST,PE30 4ET,52.7566,0.4471
UNIVERSITY HOSPITALS OF DERBY AND BURTON NHS FOUNDATION TRUST,DE22 3NE,52.9191,-1.5026
KETTERING GENERAL HOSPITAL NHS FOUNDATION TRUST,NN16 8UZ,52.4028,-0.7413
NORTHUMBRIA HEALTHCARE NHS FOUNDATION TRUST,NE23 6NZ,55.0741,-1.5695
EAST SUFFOLK AND NORTH ESSEX NHS FOUNDATION TRUST,CO4 5JL,51.9043,0.9010
PENNINE ACUTE HOSPITALS NHS TRUST,M8 5RB,53.5150,-2.2220
NORTH BRISTOL NHS TRUST,BS10 5NB,51.4970,-2.5940
SOUTH TYNESIDE AND SUNDERLAND NHS FOUNDATION TRUST,SR4 7TP,54.9020,-1.4060
UNIVERSITY HOSPITALS COVENTRY AND WARWICKSHIRE NHS TRUST,CV2 2DX,52.4212,-1.4378
BIRMINGHAM WOMEN'S AND CHILDREN'S NHS FOUNDATION TRUST,B4 6NH,52.4869,-1.8922
LEWISHAM AND GREENWICH NHS TRUST,SE13 6LH,51.4520,-0.0170
NORTH WEST BOROUGHS HEALTHCARE NHS FOUNDATION TRUST,WA2 8WA,53.4305,-2.6036
GEORGE ELIOT HOSPITAL NHS TRUST,CV10 7DJ,52.5108,-1.4757
NORTHAMPTON GENERAL HOSPITAL NHS TRUST,NN1 5BD,52.2361,-0.8838
SALISBURY NHS FOUNDATION TRUST,SP2 8BJ,51.0450,-1.8050
COUNTY DURHAM AND DARLINGTON NHS FOUNDATION TRUST,DL3 6HX,54.5280,-1.5610
ST MARY'S NHS TREATMENT CENTRE,PO3 6DW,50.7993,-1.0619
THE ROBERT JONES AND AGNES HUNT ORTHOPAEDIC HOSPITAL NHS FOUNDATION TRUST,SY10 7AG,52.8842,-3.0323
MOORFIELDS EYE HOSPITAL NHS FOUNDATION TRUST,EC1V 2PD,51.5275,-0.0895
MID CHESHIRE HOSPITALS NHS FOUNDATION TRUST,CW1 4QJ,53.1177,-2.4759
LIVERPOOL UNIVERSITY HOSPITALS NHS FOUNDATION TRUST,L7 8XP,53.4098,-2.9674
TAMESIDE AND GLOSSOP INTEGRATED CARE NHS FOUNDATION TRUST,OL6 9RW,53.4886,-2.0946
THE ROYAL BOURNEMOUTH AND CHRISTCHURCH HOSPITALS NHS FOUNDATION TRUST,BH7 7DW,50.7479,-1.8219
WEST HERTFORDSHIRE HOSPITALS NHS TRUST,WD18 0HB,51.6506,-0.3977
WEST SUFFOLK NHS FOUNDATION TRUST,IP33 2QZ,52.2317,0.7092
UNIVERSITY HOSPITAL SOUTHAMPTON NHS FOUNDATION TRUST,SO16 6YD,50.9330,-1.4351
BELMONT HEALTH CENTRE,HA3 8SA,51.6008,-0.3181
NORFOLK AND NORWICH UNIVERSITY HOSPITALS NHS FOUNDATION TRUST,NR4 7UY,52.6225,1.2217
EAST CHESHIRE NHS TRUST,SK10 3BL,53.2636,-2.1250
UNIVERSITY HOSPITALS BIRMINGHAM NHS FOUNDATION TRUST,B15 2GW,52.4510,-1.9392
ASHFORD AND ST PETER'S HOSPITALS NHS FOUNDATION TRUST,KT16 0PZ,51.3887,-0.5089
THE HILLINGDON HOSPITALS NHS FOUNDATION TRUST,UB8 3NN,51.5260,-0.4619
IMPERIAL COLLEGE HEALTHCARE NHS TRUST,W2 1NY,51.5175,-0.1749
KING'S COLLEGE HOSPITAL NHS FOUNDATION TRUST,SE5 9RS,51.4680,-0.0938
SHEFFIELD TEACHING HOSPITALS NHS FOUNDATION TRUST,S5 7AT,53.4113,-1.4558
LEEDS TEACHING HOSPITALS NHS TRUST,LS1 3EX,53.8021,-1.5508
NORTH TEES AND HARTLEPOOL NHS FOUNDATION TRUST,TS19 8PE,54.5746,-1.3280
WHITSTABLE MEDICAL PRACTICE,CT5 3SE,51.3607,1.0257
BOLTON NHS FOUNDATION TRUST,BL4 0JR,53.5556,-2.4070
BERKSHIRE HEALTHCARE NHS FOUNDATION TRUST,RG30 4EJ,51.4491,-1.0147
MILTON KEYNES UNIVERSITY HOSPITAL NHS FOUNDATION TRUST,MK6 5LD,52.0264,-0.7363
AIREDALE NHS FOUNDATION TRUST,BD20 6TD,53.8980,-1.9627
ASSURA VERTIS URGENT CARE CENTRES (BIRMINGHAM),B7 4BL,52.4922,-1.8807
MERSEY CARE NHS FOUNDATION TRUST,L34 1PJ,53.4281,-2.7872
ROYAL CORNWALL HOSPITALS NHS TRUST,TR1 3LJ,50.2667,-5.0916
CLEVEDON HOSPITAL,BS21 6BS,51.4376,-2.8470
PHL LYMINGTON UTC,SO41 8QD,50.7585,-1.5443
TAUNTON AND SOMERSET NHS FOUNDATION TRUST,TA1 5DA,51.0278,-3.0805
THE JUNCTION HC - UNREGISTERED PATIENTS,SW11 2NU,51.4646,-0.1713
CORNWALL PARTNERSHIP NHS FOUNDATION TRUST,PL26 6AD,50.3350,-4.7920
THE ROYAL WOLVERHAMPTON NHS TRUST,WV10 0QP,52.5988,-2.0949
ST GEORGE'S UNIVERSITY HOSPITALS NHS FOUNDATION TRUST,SW17 0QT,51.4267,-0.1757
SANDWELL AND WEST BIRMINGHAM HOSPITALS NHS TRUST,B71 4HJ,52.5277,-1.9889
HAROLD WOOD WIC,RM3 0AR,51.5946,0.2329
CORBY URGENT CARE CENTRE,NN17 2UR,52.4975,-0.7053
SHROPSHIRE COMMUNITY HEALTH NHS TRUST,SY2 6FG,52.6946,-2.7261
ST.GEORGE'S CENTRE,LS10 4UZ,53.7797,-1.5315
LOCAL CARE DIRECT,LS7 2BQ,53.8104,-1.5390
HHCIC EAST WIC,HA3 7LT,51.5946,-0.3179
MID AND SOUTH ESSEX NHS FOUNDATION TRUST,SS0 0RY,51.5540,0.6877
SOMERSET NHS FOUNDATION TRUST,BA21 4AT,50.9447,-2.6345
SIRONA CARE & HEALTH,BS37 5AF,51.5405,-2.4142
BEDFORDSHIRE HOSPITALS NHS FOUNDATION TRUST,LU4 0DZ,51.8940,-0.4740
UNIVERSITY HOSPITALS BRISTOL AND WESTON NHS FOUNDATION TRUST,BS1 3NU,51.4595,-2.5930
PORTSMOUTH HOSPITALS UNIVERSITY NATIONAL HEALTH SERVICE TRUST,PO6 3LY,50.8529,-1.0661
CALDER COMMUNITY PRACTICE,OL14 5RN,53.7032,-2.0856
THE SHREWSBURY AND TELFORD HOSPITAL NHS TRUST,SY3 8XQ,52.7032,-2.7740
PRACTICE PLUS GROUP HOSPITAL - SOUTHAMPTON,SO14 0YG,50.9122,-1.3961
PRACTICE PLUS GROUP SURGICAL CENTRE - ST MARYS PORTSMOUTH,PO3 6DW,50.7993,-1.0619
UNIVERSITY HOSPITALS DORSET NHS FOUNDATION TRUST,BH7 7DW,50.7479,-1.8219
UNIVERSITY HOSPITALS SUSSEX NHS FOUNDATION TRUST,BN2 5BE,50.8182,-0.1168
SUMMERFIELD URGENT CARE CENTRE,B18 7AL,52.4877,-1.9374
YORK AND SCARBOROUGH TEACHING HOSPITALS NHS FOUNDATION TRUST,YO30 4RY,53.9856,-1.0936
NORTHERN CARE ALLIANCE NHS FOUNDATION TRUST,M6 8HD,53.4875,-2.3234
WEST HERTFORDSHIRE TEACHING HOSPITALS NHS TRUST,WD18 0HB,51.6506,-0.3977
HOMERTON HEALTHCARE NHS FOUNDATION TRUST,E9 6SR,51.5504,-0.0483
ROYAL DEVON UNIVERSITY HEALTHCARE NHS FOUNDATION TRUST,EX2 5DW,50.7168,-3.5064
STATION PLAZA HEALTH CENTRE,TN34 1BA,50.8574,0.5809
ROSSENDALE MIU & OOH,BB4 7PL,53.7032,-2.2856
SOUTH WARWICKSHIRE UNIVERSITY NHS FOUNDATION TRUST,CV34 5BW,52.2903,-1.5836
HAROLD WOOD POLYCLINIC UTC,RM3 0FE,51.5946,0.2329
BARKING HOSPITAL UTC,IG11 9LD,51.5429,0.0963
MID YORKSHIRE TEACHING NHS TRUST,WF1 4DG,53.6956,-1.4879
PUTNOE WALK IN CENTRE,MK41 9JE,52.1481,-0.4391
MERSEY AND WEST LANCASHIRE TEACHING HOSPITALS NHS TRUST,L35 5DR,53.4174,-2.7872
READING URGENT CARE CENTRE,RG1 5LE,51.4520,-0.9630
BRIDLINGTON HOSPITAL,YO16 4QP,54.0864,-0.2158
HAMPSHIRE AND ISLE OF WIGHT HEALTHCARE NHS FOUNDATION TRUST,SO40 2RZ,50.9206,-1.5271
UNITED LINCOLNSHIRE TEACHING HOSPITALS NHS TRUST,LN2 4AX,53.2340,-0.5120
KINGSTON AND RICHMOND NHS FOUNDATION TRUST,KT2 7QB,51.4145,-0.2816
NEMS UTC,NG5 1PB,52.9850,-1.1650
PORTSMOUTH HOSPITALS UNIVERSITY NHS TRUST,PO6 3LY,50.8529,-1.0661
CHIPPENHAM COMMUNITY HOSPITAL,SN15 2AJ,51.4525,-2.1271
TROWBRIDGE MINOR INJURIES UNIT,BA14 8PH,51.3166,-2.2080
FAVERSHAM MEDICAL PRACTICE MIU,ME13 8QR,51.3146,0.8912
NEMS CBS (UTC),NG5 1PB,52.9850,-1.1650
HERNE BAY HEALTH CARE LTD,CT6 8HH,51.3690,1.1098
