period,org_code,org_name,ae_attendances_type_1,attendances_over_4hrs_type_1,patients_12hr_wait,emergency_admissions_type_1,postcode,latitude,longitude
2020-01-01,RC1,BEDFORD HOSPITAL NHS TRUST,6362.0,1310.0,0,2130,MK42 9DJ,52.1289,-0.4717
2020-01-01,RCU,SHEFFIELD CHILDREN'S NHS FOUNDATION TRUST,4741.0,120.0,0,732,S10 2TH,53.3792,-1.492
2020-01-01,NTP11,SOUTHAMPTON NHS TREATMENT CENTRE,0.0,0.0,0,0,SO14 0YG,50.9122,-1.3961
2020-01-01,RAJ,SOUTHEND UNIVERSITY HOSPITAL NHS FOUNDATION TRUST,6908.0,2450.0,1,2627,SS0 0RY,51.554,0.6877
2020-01-01,Y02973,KINGS PARK SURGERY,0.0,0.0,0,0,G44 4JE,55.8183,-4.2554
2020-01-01,RAN,ROYAL NATIONAL ORTHOPAEDIC HOSPITAL NHS TRUST,0.0,0.0,0,0,HA7 4LP,51.632,-0.305
2020-01-01,Y02961,SUMMERFIELD GP SURG & URGENT CARE CENTRE,0.0,0.0,0,0,B18 7AL,52.4921,-1.9302
2020-01-01,C82009,MARKET HARBOROUGH MED.CTR,0.0,0.0,0,0,LE16 9BX,52.4771,-0.9248
2020-01-01,RBZ,NORTHERN DEVON HEALTHCARE NHS TRUST,3743.0,758.0,0,1178,EX31 4JB,51.092,-4.051
2020-01-01,NTV0B,ASHFORD WALK-IN-CENTRE,0.0,0.0,0,0,TW15 3FE,51.4321,-0.4567
2020-01-01,Y02428,PUTNOE MEDICAL CENTRE WALK IN CENTRE,0.0,0.0,0,0,MK41 9JE,52.1481,-0.4391
2020-01-01,NMH01,NORWICH PRACTICES LTD,0.0,0.0,0,0,NR1 1RB,52.6266,1.3012
2020-01-01,C82038,LATHAM HOUSE MEDICAL PRACTICE,0.0,0.0,0,0,LE13 1NX,52.765,-0.886
2020-01-01,RVY,SOUTHPORT AND ORMSKIRK HOSPITAL NHS TRUST,7136.0,1564.0,12,2743,PR8 6ZS,53.627,-2.9858
2020-01-01,AJN,WORKINGTON HEALTH LIMITED,0.0,0.0,0,0,CA14 2RW,54.6427,-3.5513
2020-01-01,RTQ,GLOUCESTERSHIRE HEALTH AND CARE NHS FOUNDATION TRUST,0.0,0.0,0,0,GL3 4AW,51.8592,-2.225
2020-01-01,RDY,DORSET HEALTHCARE UNIVERSITY NHS FOUNDATION TRUST,0.0,0.0,0,0,BH1 4JQ,50.7293,-1.8415
2020-01-01,Y03645,MORETON HEALTH MINOR INJURY,0.0,0.0,0,0,CH46 7XA,53.3969,-3.1134
2020-01-01,RAP,NORTH MIDDLESEX UNIVERSITY HOSPITAL NHS TRUST,9432.0,3023.0,5,2512,N18 1QX,51.6145,-0.0738
2020-01-01,RYY,KENT COMMUNITY HEALTH NHS FOUNDATION TRUST,0.0,0.0,0,0,TN25 4AZ,51.1324,0.8786
2020-01-01,RTE,GLOUCESTERSHIRE HOSPITALS NHS FOUNDATION TRUST,12624.0,3477.0,0,3656,GL1 3NN,51.8642,-2.2381
2020-01-01,Y03007,ERDINGTON GP HEALTH & WELLBEING WIC,0.0,0.0,0,0,B23 6SJ,52.5236,-1.8452
2020-01-01,NQT5F,SKELMERSDALE WALK IN CENTRE,0.0,0.0,0,0,WN8 6LJ,53.549,-2.775
2020-01-01,RV9,HUMBER TEACHING NHS FOUNDATION TRUST,0.0,0.0,0,0,HU3 5QE,53.742,-0.3847
2020-01-01,Y02533,PARKFIELD (H) MINOR EMERGENCY,0.0,0.0,0,0,CH62 5HS,53.3599,-2.9985
2020-01-01,AD913,BECKENHAM BEACON UCC,0.0,0.0,0,0,BR3 3QL,51.4082,-0.0258
2020-01-01,Y02532,MIRIAM MINOR EMERGENCY,0.0,0.0,0,0,CH41 8DB,53.3986,-3.0477
2020-01-01,NJS05,LOUGHBOROUGH URGENT CARE CENTRE,0.0,0.0,0,0,LE11 5JY,52.7735,-1.2246
2020-01-01,NLX24,YATE WEST GATE CENTRE,0.0,0.0,0,0,BS37 4AX,51.5405,-2.4142
2020-01-01,NQT5H,PAULTON MEMORIAL HOSPITAL,0.0,0.0,0,0,BS39 7SD,51.3006,-2.4938
2020-01-01,8J094,BADGER LTD,0.0,0.0,0,0,SS15 4DB,51.5877,0.417
2020-01-01,RWA,HULL UNIVERSITY TEACHING HOSPITALS NHS TRUST,10922.0,4322.0,0,3027,HU3 2JZ,53.7446,-0.3353
2020-01-01,Y03218,THE PINN UNREGISTERED WIC,0.0,0.0,0,0,HA5 3EE,51.5931,-0.3826
2020-01-01,RET,THE WALTON CENTRE NHS FOUNDATION TRUST,0.0,0.0,0,0,L9 7LJ,53.4665,-2.931
2020-01-01,RQ8,MID ESSEX HOSPITAL SERVICES NHS TRUST,8707.0,2843.0,0,2704,CM1 7ET,51.7652,0.469
2020-01-01,RY5,LINCOLNSHIRE COMMUNITY HEALTH SERVICES NHS TRUST,0.0,0.0,0,0,LN5 7JH,53.2247,-0.5352
2020-01-01,RKE,WHITTINGTON HEALTH NHS TRUST,9561.0,1863.0,10,1189,N19 5NF,51.5665,-0.1395
2020-01-01,REP,LIVERPOOL WOMEN'S NHS FOUNDATION TRUST,0.0,0.0,0,0,L8 7SS,53.3985,-2.961
2020-01-01,RHU,PORTSMOUTH HOSPITALS NHS TRUST,10153.0,0.0,0,3612,PO6 3LY,50.8529,-1.0661
2020-01-01,NNJ15,OAKHAM,0.0,0.0,0,0,LE15 6NT,52.6708,-0.7375
2020-01-01,NNJ0H,LLR EA - THE MERLYN VAZ HEALTH & SOCIAL CARE CENTRE,0.0,0.0,0,0,LE5 3GH,52.6375,-1.1072
2020-01-01,NNJ13,MELTON MOWBRAY,0.0,0.0,0,0,LE13 1GH,52.7659,-0.8869
2020-01-01,AC008,ROSSENDALE MINOR INJURIES UNIT,0.0,0.0,0,0,BB4 7PL,53.7032,-2.2856
2020-01-01,RNA,THE DUDLEY GROUP NHS FOUNDATION TRUST,8719.0,2914.0,108,2522,DY1 2HQ,52.5202,-2.0727
2020-01-01,RY4,HERTFORDSHIRE COMMUNITY NHS TRUST,0.0,0.0,0,0,AL7 1BW,51.8014,-0.1946
2020-01-01,NNJ14,OADBY,0.0,0.0,0,0,LE2 5PF,52.5981,-1.0839
2020-01-01,RFR,THE ROTHERHAM NHS FOUNDATION TRUST,8196.0,0.0,0,1687,S60 2UD,53.4139,-1.3429
2020-01-01,RAT,NORTH EAST LONDON NHS FOUNDATION TRUST,0.0,0.0,0,0,RM13 8GQ,51.5186,0.1711
2020-01-01,RXG,SOUTH WEST YORKSHIRE PARTNERSHIP NHS FOUNDATION TRUST,0.0,0.0,0,0,S71 5AS,53.5494,-1.4409
2020-01-01,RCD,HARROGATE AND DISTRICT NHS FOUNDATION TRUST,4169.0,547.0,0,1074,HG2 7SX,53.9837,-1.5253
2020-01-01,RYR,WESTERN SUSSEX HOSPITALS NHS FOUNDATION TRUST,12628.0,1543.0,0,4168,BN11 2DH,50.8168,-0.3643
2020-01-01,RNU,OXFORD HEALTH NHS FOUNDATION TRUST,0.0,0.0,0,0,OX4 4XN,51.7166,-1.2193
2020-01-01,RBK,WALSALL HEALTHCARE NHS TRUST,7269.0,1899.0,0,2650,WS2 9PS,52.5853,-1.984
2020-01-01,RFS,CHESTERFIELD ROYAL HOSPITAL NHS FOUNDATION TRUST,6233.0,2323.0,0,2238,S44 5BL,53.2333,-1.3833
2020-01-01,NQ108,CLACTON HOSPITAL,0.0,0.0,0,0,CO15 1LH,51.7856,1.1482
2020-01-01,RBQ,LIVERPOOL HEART AND CHEST HOSPITAL NHS FOUNDATION TRUST,0.0,0.0,0,0,L14 3PE,53.4194,-2.8917
2020-01-01,RWD,UNITED LINCOLNSHIRE HOSPITALS NHS TRUST,11783.0,5388.0,0,4048,LN2 5QY,53.234,-0.512
2020-01-01,RWY,CALDERDALE AND HUDDERSFIELD NHS FOUNDATION TRUST,13105.0,1851.0,0,3291,HD3 3EA,53.6551,-1.822
2020-01-01,RJC,SOUTH WARWICKSHIRE NHS FOUNDATION TRUST,6117.0,1016.0,0,1916,CV34 5BW,52.2903,-1.5836
2020-01-01,NQ106,FRYATT HOSPITAL,0.0,0.0,0,0,CO12 4NR,51.9372,1.2605
2020-01-01,RK5,SHERWOOD FOREST HOSPITALS NHS FOUNDATION TRUST,9313.0,1311.0,22,3451,NG17 4JL,53.127,-1.261
2020-01-01,NQT10,ASSURA READING LLP,0.0,0.0,0,0,RG2 9EH,51.4083,-0.9631
2020-01-01,RQW,THE PRINCESS ALEXANDRA HOSPITAL NHS TRUST,9636.0,2772.0,2,2468,CM20 1QX,51.7712,0.0853
2020-01-01,RH8,ROYAL DEVON AND EXETER NHS FOUNDATION TRUST,7583.0,1961.0,6,1976,EX2 5DW,50.7168,-3.5064
2020-01-01,RQM,CHELSEA AND WESTMINSTER HOSPITAL NHS FOUNDATION TRUST,19914.0,0.0,2,3063,SW10 9NH,51.4846,-0.1783
2020-01-01,RY8,DERBYSHIRE COMMUNITY HEALTH SERVICES NHS FOUNDATION TRUST,0.0,0.0,0,0,S42 7JE,53.253,-1.475
2020-01-01,RWP,WORCESTERSHIRE ACUTE HOSPITALS NHS TRUST,10623.0,4119.0,167,3293,WR5 1DD,52.1896,-2.1907
2020-01-01,RTD,THE NEWCASTLE UPON TYNE HOSPITALS NHS FOUNDATION TRUST,10130.0,1020.0,0,3493,NE7 7DN,55.0076,-1.5829
2020-01-01,NDJ,FIRST COMMUNITY HEALTH AND CARE CIC,0.0,0.0,0,0,RH1 6DS,51.2298,-0.1681
2020-01-01,RA9,TORBAY AND SOUTH DEVON NHS FOUNDATION TRUST,6016.0,2149.0,1,2611,TQ2 7AA,50.4919,-3.5356
2020-01-01,AAH,TETBURY HOSPITAL TRUST LTD,0.0,0.0,0,0,GL8 8XB,51.6352,-2.1547
2020-01-01,RXR,EAST LANCASHIRE HOSPITALS NHS TRUST,9656.0,2779.0,12,4311,BB2 3HH,53.7316,-2.4765
2020-01-01,RYF,SOUTH WESTERN AMBULANCE SERVICE NHS FOUNDATION TRUST,0.0,0.0,0,0,BS15 1PX,51.4707,-2.5096
2020-01-01,RN7,DARTFORD AND GRAVESHAM NHS TRUST,9749.0,2299.0,0,2868,DA2 8DA,51.4343,0.2603
2020-01-01,NNJ12,MARKET HARBOROUGH,0.0,0.0,0,0,LE16 7AF,52.4776,-0.9205
2020-01-01,R0A,MANCHESTER UNIVERSITY NHS FOUNDATION TRUST,21802.0,6527.0,0,6594,M13 9WL,53.4616,-2.2252
2020-01-01,RFF,BARNSLEY HOSPITAL NHS FOUNDATION TRUST,8749.0,1144.0,0,2464,S75 2EP,53.5591,-1.4965
2020-01-01,NLW,BRISTOL COMMUNITY HEALTH,0.0,0.0,0,0,BS4 2UH,51.4291,-2.5665
2020-01-01,RGT,CAMBRIDGE UNIVERSITY HOSPITALS NHS FOUNDATION TRUST,9553.0,0.0,47,3175,CB2 0QQ,52.1746,0.1419
2020-01-01,NNJ,DHU HEALTH CARE C.I.C,0.0,0.0,0,0,DE21 6BF,52.9146,-1.4281
2020-01-01,RBS,ALDER HEY CHILDREN'S NHS FOUNDATION TRUST,4752.0,596.0,0,1021,L12 2AP,53.4205,-2.8968
2020-01-01,RD1,ROYAL UNITED HOSPITALS BATH NHS FOUNDATION TRUST,6432.0,2386.0,0,2563,BA1 3NG,51.3917,-2.391
2020-01-01,RJR,COUNTESS OF CHESTER HOSPITAL NHS FOUNDATION TRUST,5728.0,1612.0,0,1550,CH2 1UL,53.2086,-2.8986
2020-01-01,RN3,GREAT WESTERN HOSPITALS NHS FOUNDATION TRUST,5540.0,2191.0,107,2235,SN3 6BB,51.549,-1.755
2020-01-01,RBD,DORSET COUNTY HOSPITAL NHS FOUNDATION TRUST,4049.0,768.0,1,1606,DT1 2JY,50.7127,-2.4456
2020-01-01,DT301,HERTS URGENT CARE (ASCOTS LANE),0.0,0.0,0,0,AL7 4HL,51.7986,-0.1852
2020-01-01,RLQ,WYE VALLEY NHS TRUST,5279.0,1737.0,4,1627,HR1 2ER,52.0615,-2.7144
2020-01-01,RC9,LUTON AND DUNSTABLE UNIVERSITY HOSPITAL NHS FOUNDATION TRUST,8922.0,0.0,0,3349,LU4 0DZ,51.894,-0.474
2020-01-01,RN5,HAMPSHIRE HOSPITALS NHS FOUNDATION TRUST,10321.0,2910.0,5,3373,RG24 9NA,51.2845,-1.1022
2020-01-01,RXQ,BUCKINGHAMSHIRE HEALTHCARE NHS TRUST,6758.0,2323.0,0,3275,HP21 8AL,51.8075,-0.8086
2020-01-01,Y04538,BRACKNELL URGENT CARE CENTRE WIC,0.0,0.0,0,0,RG12 9RT,51.4083,-0.7539
2020-01-01,RJ1,GUY'S AND ST THOMAS' NHS FOUNDATION TRUST,13962.0,3237.0,0,3924,SE1 9RT,51.5035,-0.0869
2020-01-01,RDD,BASILDON AND THURROCK UNIVERSITY HOSPITALS NHS FOUNDATION TRUST,11759.0,2015.0,0,3306,SS16 5NL,51.5636,0.4567
2020-01-01,RWE,UNIVERSITY HOSPITALS OF LEICESTER NHS TRUST,19653.0,7614.0,18,5418,LE1 9WW,52.6323,-1.1249
2020-01-01,RXF,MID YORKSHIRE HOSPITALS NHS TRUST,17439.0,0.0,0,3980,WF1 4DG,53.6956,-1.4879
2020-01-01,RAE,BRADFORD TEACHING HOSPITALS NHS FOUNDATION TRUST,10287.0,3124.0,0,2622,BD9 6RJ,53.8069,-1.7855
2020-01-01,RR7,GATESHEAD HEALTH NHS FOUNDATION TRUST,8042.0,1699.0,0,1872,NE9 6SX,54.9366,-1.5853
2020-01-01,RCB,YORK TEACHING HOSPITAL NHS FOUNDATION TRUST,10222.0,4244.0,28,4384,YO30 4RY,53.9856,-1.0936
2020-01-01,RX1,NOTTINGHAM UNIVERSITY HOSPITALS NHS TRUST,15894.0,0.0,92,3788,NG5 1PB,52.985,-1.165
2020-01-01,RF4,"BARKING, HAVERING AND REDBRIDGE UNIVERSITY HOSPITALS NHS TRUST",15561.0,7864.0,14,4539,,,
2020-01-01,RBN,ST HELENS AND KNOWSLEY TEACHING HOSPITALS NHS TRUST,10077.0,3287.0,0,4503,WA9 3DA,53.439,-2.7362
2020-01-01,RJL,NORTHERN LINCOLNSHIRE AND GOOLE NHS FOUNDATION TRUST,12165.0,3267.0,1,3333,DN33 2BA,53.5461,-0.0957
2020-01-01,RCX,"THE QUEEN ELIZABETH HOSPITAL, KING'S LYNN, NHS FOUNDATION TRUST",5845.0,1357.0,1,2544,,,
2020-01-01,RTG,UNIVERSITY HOSPITALS OF DERBY AND BURTON NHS FOUNDATION TRUST,17203.0,6547.0,14,5259,DE22 3NE,52.9191,-1.5026
2020-01-01,RNQ,KETTERING GENERAL HOSPITAL NHS FOUNDATION TRUST,7615.0,0.0,0,2218,NN16 8UZ,52.4028,-0.7413
2020-01-01,RTF,NORTHUMBRIA HEALTHCARE NHS FOUNDATION TRUST,8811.0,1054.0,0,5298,NE23 6NZ,55.0741,-1.5695
2020-01-01,RDE,EAST SUFFOLK AND NORTH ESSEX NHS FOUNDATION TRUST,13606.0,3623.0,1,4852,CO4 5JL,51.9043,0.901
2020-01-01,RW6,PENNINE ACUTE HOSPITALS NHS TRUST,24688.0,7490.0,54,6871,M8 5RB,53.515,-2.222
2020-01-01,RVJ,NORTH BRISTOL NHS TRUST,8356.0,1811.0,38,3387,BS10 5NB,51.497,-2.594
2020-01-01,R0B,SOUTH TYNESIDE AND SUNDERLAND NHS FOUNDATION TRUST,13032.0,4282.0,0,4438,SR4 7TP,54.902,-1.406
2020-01-01,RKB,UNIVERSITY HOSPITALS COVENTRY AND WARWICKSHIRE NHS TRUST,12819.0,4473.0,0,4570,CV2 2DX,52.4212,-1.4378
2020-01-01,RQ3,BIRMINGHAM WOMEN'S AND CHILDREN'S NHS FOUNDATION TRUST,4893.0,255.0,0,1042,B4 6NH,52.4869,-1.8922
2020-01-01,RJ2,LEWISHAM AND GREENWICH NHS TRUST,13647.0,4565.0,53,4420,SE13 6LH,51.452,-0.017
2020-01-01,RTV,NORTH WEST BOROUGHS HEALTHCARE NHS FOUNDATION TRUST,0.0,0.0,0,0,WA2 8WA,53.4305,-2.6036
2020-01-01,RLT,GEORGE ELIOT HOSPITAL NHS TRUST,7456.0,1726.0,0,1328,CV10 7DJ,52.5108,-1.4757
2020-01-01,RNS,NORTHAMPTON GENERAL HOSPITAL NHS TRUST,8933.0,3129.0,0,2574,NN1 5BD,52.2361,-0.8838
2020-01-01,RNZ,SALISBURY NHS FOUNDATION TRUST,4242.0,762.0,0,1255,SP2 8BJ,51.045,-1.805
2020-01-01,RXP,COUNTY DURHAM AND DARLINGTON NHS FOUNDATION TRUST,11644.0,5193.0,0,3780,DL3 6HX,54.528,-1.561
2020-01-01,NTPAD,ST MARY'S NHS TREATMENT CENTRE,0.0,0.0,0,0,PO3 6DW,50.7993,-1.0619
2020-01-01,RL1,THE ROBERT JONES AND AGNES HUNT ORTHOPAEDIC HOSPITAL NHS FOUNDATION TRUST,0.0,0.0,0,0,SY10 7AG,52.8842,-3.0323
2020-01-01,RP6,MOORFIELDS EYE HOSPITAL NHS FOUNDATION TRUST,0.0,0.0,0,0,EC1V 2PD,51.5275,-0.0895
