period,org_code,org_name,ae_attendances_type_1,attendances_over_4hrs_type_1,patients_12hr_wait,emergency_admissions_type_1
,NR3,NOTTINGHAM CITYCARE PARTNERSHIP,0.0,0.0,0,0
,NTP11,PRACTICE PLUS GROUP HOSPITAL - SOUTHAMPTON,0.0,0.0,0,0
,R1D,SHROPSHIRE COMMUNITY HEALTH NHS TRUST,0.0,0.0,0,0
,RA4,YEOVIL DISTRICT HOSPITAL NHS FOUNDATION TRUST,5306.0,792.0,0,1868
,RAN,ROYAL NATIONAL ORTHOPAEDIC HOSPITAL NHS TRUST,0.0,0.0,0,0
,RBN,ST HELENS AND KNOWSLEY TEACHING HOSPITALS NHS TRUST,10012.0,4929.0,0,4053
,RBS,ALDER HEY CHILDREN'S NHS FOUNDATION TRUST,6532.0,1799.0,0,1143
,RD1,ROYAL UNITED HOSPITALS BATH NHS FOUNDATION TRUST,7332.0,3228.0,0,2392
,RJ6,CROYDON HEALTH SERVICES NHS TRUST,12510.0,3733.0,46,1343
,RJZ,KING'S COLLEGE HOSPITAL NHS FOUNDATION TRUST,14000.0,5969.0,127,3973
,RL1,THE ROBERT JONES AND AGNES HUNT ORTHOPAEDIC HOSPITAL NHS FOUNDATION TRUST,0.0,0.0,0,0
,RQM,CHELSEA AND WESTMINSTER HOSPITAL NHS FOUNDATION TRUST,19660.0,0.0,10,2648
,RQW,THE PRINCESS ALEXANDRA HOSPITAL NHS TRUST,10430.0,4193.0,220,2205
,RTX,UNIVERSITY HOSPITALS OF MORECAMBE BAY NHS FOUNDATION TRUST,8720.0,2945.0,173,2574
,RWG,WEST HERTFORDSHIRE HOSPITALS NHS TRUST,7764.0,3638.0,0,3447
,RXQ,BUCKINGHAMSHIRE HEALTHCARE NHS TRUST,8340.0,3092.0,0,3434
,RY8,DERBYSHIRE COMMUNITY HEALTH SERVICES NHS FOUNDATION TRUST,0.0,0.0,0,0
,Y02615,SOUTH BIRMINGHAM GP WALK IN CENTRE,0.0,0.0,0,0
,Y03571,CORBY URGENT CARE CENTRE,0.0,0.0,0,0
,AC008,ROSSENDALE MINOR INJURIES UNIT,0.0,0.0,0,0
,ARN03,LOCAL CARE DIRECT,0.0,0.0,0,0
,NLX,SIRONA CARE & HEALTH,0.0,0.0,0,0
,R0A,MANCHESTER UNIVERSITY NHS FOUNDATION TRUST,32808.0,15421.0,84,8455
,R1K,LONDON NORTH WEST UNIVERSITY HEALTHCARE NHS TRUST,12302.0,4585.0,13,6284
,RD8,MILTON KEYNES UNIVERSITY HOSPITAL NHS FOUNDATION TRUST,7987.0,2422.0,0,1782
,RGN,NORTH WEST ANGLIA NHS FOUNDATION TRUST,12132.0,5543.0,82,3592
,RH8,ROYAL DEVON AND EXETER NHS FOUNDATION TRUST,7934.0,3089.0,11,2362
,RJN,EAST CHESHIRE NHS TRUST,4330.0,1636.0,54,948
,RK5,SHERWOOD FOREST HOSPITALS NHS FOUNDATION TRUST,9142.0,2097.0,2,3417
,RN7,DARTFORD AND GRAVESHAM NHS TRUST,11542.0,2992.0,0,3018
,RNZ,SALISBURY NHS FOUNDATION TRUST,4475.0,1304.0,0,1348
,RQ3,BIRMINGHAM WOMEN'S AND CHILDREN'S NHS FOUNDATION TRUST,6363.0,2122.0,0,1083
,RQX,HOMERTON UNIVERSITY HOSPITAL NHS FOUNDATION TRUST,10336.0,1487.0,3,1672
,RTF,NORTHUMBRIA HEALTHCARE NHS FOUNDATION TRUST,8983.0,1664.0,0,5156
,RTQ,GLOUCESTERSHIRE HEALTH AND CARE NHS FOUNDATION TRUST,0.0,0.0,0,0
,RTR,SOUTH TEES HOSPITALS NHS FOUNDATION TRUST,10413.0,4182.0,5,2435
,RVW,NORTH TEES AND HARTLEPOOL NHS FOUNDATION TRUST,3706.0,0.0,4,1471
,RVY,SOUTHPORT AND ORMSKIRK HOSPITAL NHS TRUST,8025.0,2407.0,57,2233
,RWA,HULL UNIVERSITY TEACHING HOSPITALS NHS TRUST,11185.0,4949.0,2,2776
,RWF,MAIDSTONE AND TUNBRIDGE WELLS NHS TRUST,16360.0,3762.0,0,4604
,RX1,NOTTINGHAM UNIVERSITY HOSPITALS NHS TRUST,16581.0,0.0,108,4778
,RXF,MID YORKSHIRE HOSPITALS NHS TRUST,18148.0,0.0,1,4037
,RXK,SANDWELL AND WEST BIRMINGHAM HOSPITALS NHS TRUST,13552.0,5793.0,5,3194
,RXP,COUNTY DURHAM AND DARLINGTON NHS FOUNDATION TRUST,12488.0,6438.0,60,4848
,RXR,EAST LANCASHIRE HOSPITALS NHS TRUST,10964.0,4835.0,39,4494
,RXW,THE SHREWSBURY AND TELFORD HOSPITAL NHS TRUST,10788.0,5267.0,132,2914
,RY2,BRIDGEWATER COMMUNITY HEALTHCARE NHS FOUNDATION TRUST,0.0,0.0,0,0
,RYG,COVENTRY AND WARWICKSHIRE PARTNERSHIP NHS TRUST,0.0,0.0,0,0
,C83023,SLEAFORD MEDICAL GROUP,0.0,0.0,0,0
,G82071,WHITSTABLE MEDICAL PRACTICE,0.0,0.0,0,0
,NDA57,HASLEMERE MINOR INJURIES UNIT,0.0,0.0,0,0
,R0D,UNIVERSITY HOSPITALS DORSET NHS FOUNDATION TRUST,13769.0,0.0,12,4065
,R1F,ISLE OF WIGHT NHS TRUST,3277.0,1203.0,7,1136
,R1H,BARTS HEALTH NHS TRUST,24534.0,9203.0,100,5719
,RA2,ROYAL SURREY COUNTY HOSPITAL NHS FOUNDATION TRUST,6220.0,2414.0,0,2420
,RAS,THE HILLINGDON HOSPITALS NHS FOUNDATION TRUST,5981.0,2925.0,4,1660
,RBK,WALSALL HEALTHCARE NHS TRUST,7619.0,2250.0,0,2952
,RBV,THE CHRISTIE NHS FOUNDATION TRUST,0.0,0.0,0,0
,RC9,BEDFORDSHIRE HOSPITALS NHS FOUNDATION TRUST,16588.0,0.0,0,4674
,RCF,AIREDALE NHS FOUNDATION TRUST,5963.0,2061.0,0,1615
,RDR,SUSSEX COMMUNITY NHS FOUNDATION TRUST,0.0,0.0,0,0
,REM,LIVERPOOL UNIVERSITY HOSPITALS NHS FOUNDATION TRUST,18199.0,8926.0,1,5035
,REP,LIVERPOOL WOMEN'S NHS FOUNDATION TRUST,0.0,0.0,0,0
,RF4,"BARKING, HAVERING AND REDBRIDGE UNIVERSITY HOSPITALS NHS TRUST",14506.0,9266.0,291,4579
,RFF,BARNSLEY HOSPITAL NHS FOUNDATION TRUST,8367.0,2813.0,1,2684
,RFS,CHESTERFIELD ROYAL HOSPITAL NHS FOUNDATION TRUST,5869.0,1331.0,1,2558
,RGT,CAMBRIDGE UNIVERSITY HOSPITALS NHS FOUNDATION TRUST,9885.0,0.0,167,2741
,RHM,UNIVERSITY HOSPITAL SOUTHAMPTON NHS FOUNDATION TRUST,11235.0,3775.0,0,3475
,RHQ,SHEFFIELD TEACHING HOSPITALS NHS FOUNDATION TRUST,9312.0,5050.0,14,3211
,RJ2,LEWISHAM AND GREENWICH NHS TRUST,13934.0,5100.0,69,4267
,RJE,UNIVERSITY HOSPITALS OF NORTH MIDLANDS NHS TRUST,14030.0,7281.0,278,5398
,RJL,NORTHERN LINCOLNSHIRE AND GOOLE NHS FOUNDATION TRUST,11615.0,5628.0,114,3555
,RK9,UNIVERSITY HOSPITALS PLYMOUTH NHS TRUST,8502.0,0.0,258,2459
,RKB,UNIVERSITY HOSPITALS COVENTRY AND WARWICKSHIRE NHS TRUST,11974.0,5797.0,0,3230
,RKE,WHITTINGTON HEALTH NHS TRUST,9432.0,2300.0,2,1221
,RM3,NORTHERN CARE ALLIANCE NHS FOUNDATION TRUST,25626.0,11120.0,433,6277
,RMP,TAMESIDE AND GLOSSOP INTEGRATED CARE NHS FOUNDATION TRUST,8481.0,3805.0,3,2119
,RN5,HAMPSHIRE HOSPITALS NHS FOUNDATION TRUST,11602.0,3753.0,3,3569
,RNN,NORTH CUMBRIA INTEGRATED CARE NHS FOUNDATION TRUST,8428.0,2819.0,8,2362
,RNS,NORTHAMPTON GENERAL HOSPITAL NHS TRUST,9556.0,3679.0,0,2081
,RP5,DONCASTER AND BASSETLAW TEACHING HOSPITALS NHS FOUNDATION TRUST,12566.0,4870.0,0,3104
,RP6,MOORFIELDS EYE HOSPITAL NHS FOUNDATION TRUST,0.0,0.0,0,0
,RR8,LEEDS TEACHING HOSPITALS NHS TRUST,18492.0,9433.0,48,4129
,RRF,"WRIGHTINGTON, WIGAN AND LEIGH NHS FOUNDATION TRUST",8666.0,3669.0,47,2204
,RRV,UNIVERSITY COLLEGE LONDON HOSPITALS NHS FOUNDATION TRUST,12396.0,2189.0,5,1524
,RTD,THE NEWCASTLE UPON TYNE HOSPITALS NHS FOUNDATION TRUST,13610.0,3725.0,1,3672
,RTE,GLOUCESTERSHIRE HOSPITALS NHS FOUNDATION TRUST,12518.0,4778.0,53,3594
,RW4,MERSEY CARE NHS FOUNDATION TRUST,0.0,0.0,0,0
,RWE,UNIVERSITY HOSPITALS OF LEICESTER NHS TRUST,21366.0,9797.0,224,4552
,RWH,EAST AND NORTH HERTFORDSHIRE NHS TRUST,10179.0,4950.0,0,2731
,RXC,EAST SUSSEX HEALTHCARE NHS TRUST,7127.0,3280.0,0,3779
,RXN,LANCASHIRE TEACHING HOSPITALS NHS FOUNDATION TRUST,6786.0,3084.0,69,2480
,RY5,LINCOLNSHIRE COMMUNITY HEALTH SERVICES NHS TRUST,0.0,0.0,0,0
,RY7,WIRRAL COMMUNITY HEALTH AND CARE NHS FOUNDATION TRUST,0.0,0.0,0,0
,RYJ,IMPERIAL COLLEGE HEALTHCARE NHS TRUST,12150.0,0.0,42,2919
,AXG,WILTSHIRE HEALTH & CARE,0.0,0.0,0,0
,RA9,TORBAY AND SOUTH DEVON NHS FOUNDATION TRUST,5500.0,3035.0,130,1828
,RAE,BRADFORD TEACHING HOSPITALS NHS FOUNDATION TRUST,11714.0,2917.0,0,2541
,RAJ,MID AND SOUTH ESSEX NHS FOUNDATION TRUST,30240.0,7402.0,1,8864
,RAL,ROYAL FREE LONDON NHS FOUNDATION TRUST,21902.0,8872.0,64,3116
,RAP,NORTH MIDDLESEX UNIVERSITY HOSPITAL NHS TRUST,9437.0,4934.0,47,2125
,RAX,KINGSTON HOSPITAL NHS FOUNDATION TRUST,7788.0,2274.0,8,2643
,RBT,MID CHESHIRE HOSPITALS NHS FOUNDATION TRUST,6802.0,3217.0,1,2718
,RCX,"THE QUEEN ELIZABETH HOSPITAL, KING'S LYNN, NHS FOUNDATION TRUST",6939.0,2647.0,25,2491
,RDU,FRIMLEY HEALTH NHS FOUNDATION TRUST,20403.0,0.0,0,5009
,RGP,JAMES PAGET UNIVERSITY HOSPITALS NHS FOUNDATION TRUST,6402.0,2461.0,230,1598
,RH5,SOMERSET NHS FOUNDATION TRUST,6852.0,3159.0,8,1917
,RJ1,GUY'S AND ST THOMAS' NHS FOUNDATION TRUST,13770.0,3121.0,22,3614
,RJ7,ST GEORGE'S UNIVERSITY HOSPITALS NHS FOUNDATION TRUST,11006.0,3330.0,52,2845
,RM1,NORFOLK AND NORWICH UNIVERSITY HOSPITALS NHS FOUNDATION TRUST,10658.0,5891.0,151,2380
,RTK,ASHFORD AND ST PETER'S HOSPITALS NHS FOUNDATION TRUST,10561.0,3367.0,9,2237
,RVV,EAST KENT HOSPITALS UNIVERSITY NHS FOUNDATION TRUST,17676.0,6632.0,158,4804
,RWD,UNITED LINCOLNSHIRE HOSPITALS NHS TRUST,11832.0,5595.0,173,3755
,RWW,WARRINGTON AND HALTON TEACHING HOSPITALS NHS FOUNDATION TRUST,7746.0,3024.0,4,2008
,RWX,BERKSHIRE HEALTHCARE NHS FOUNDATION TRUST,0.0,0.0,0,0
,NNF09,BRANSHOLME HEALTH CENTRE,0.0,0.0,0,0
,NNF76,THE WILBERFORCE HEALTH CENTRE,0.0,0.0,0,0
,NNF94,EAST RIDING COMMUNITY HOSPITAL,0.0,0.0,0,0
,NNFA7,GOOLE & DISTRICT HOSPITAL,0.0,0.0,0,0
,RLQ,WYE VALLEY NHS TRUST,5745.0,2127.0,202,1483
,RNA,THE DUDLEY GROUP NHS FOUNDATION TRUST,9274.0,3007.0,28,2112
,C82009,MARKET HARBOROUGH MED.CTR,0.0,0.0,0,0
,RA7,UNIVERSITY HOSPITALS BRISTOL AND WESTON NHS FOUNDATION TRUST,15126.0,6364.0,594,3920
,RHU,PORTSMOUTH HOSPITALS UNIVERSITY NATIONAL HEALTH SERVICE TRUST,8551.0,0.0,0,3333
,RTH,OXFORD UNIVERSITY HOSPITALS NHS FOUNDATION TRUST,12170.0,4397.0,0,3684
,RVJ,NORTH BRISTOL NHS TRUST,8109.0,3223.0,29,3096
,M85813,BIRMINGHAM WIC,0.0,0.0,0,0
,NTPAD,PRACTICE PLUS GROUP SURGICAL CENTRE - ST MARYS PORTSMOUTH,0.0,0.0,0,0
,RN3,GREAT WESTERN HOSPITALS NHS FOUNDATION TRUST,5980.0,2569.0,36,2202
,RRK,UNIVERSITY HOSPITALS BIRMINGHAM NHS FOUNDATION TRUST,34084.0,15729.0,96,9815
,DT301,HERTS URGENT CARE (ASCOTS LANE),0.0,0.0,0,0
,RBL,WIRRAL UNIVERSITY TEACHING HOSPITAL NHS FOUNDATION TRUST,8040.0,4057.0,8,2400
,RCD,HARROGATE AND DISTRICT NHS FOUNDATION TRUST,4720.0,1290.0,9,1188
,RHW,ROYAL BERKSHIRE NHS FOUNDATION TRUST,11593.0,4698.0,0,2834
,RJC,SOUTH WARWICKSHIRE NHS FOUNDATION TRUST,6825.0,2841.0,0,1806
,RPA,MEDWAY NHS FOUNDATION TRUST,8832.0,3431.0,6,2443
,RVR,EPSOM AND ST HELIER UNIVERSITY HOSPITALS NHS TRUST,13224.0,2909.0,40,2223
,Y03218,THE PINN UNREGISTERED WIC,0.0,0.0,0,0
,NTV0B,ASHFORD WALK-IN-CENTRE,0.0,0.0,0,0
,NTV0W,WOKING WALK IN CENTRE,0.0,0.0,0,0
,RWJ,STOCKPORT NHS FOUNDATION TRUST,9642.0,3628.0,4,2851
,RGR,WEST SUFFOLK NHS FOUNDATION TRUST,6970.0,0.0,34,1792
,RYX,CENTRAL LONDON COMMUNITY HEALTHCARE NHS TRUST,0.0,0.0,0,0
,RDE,EAST SUFFOLK AND NORTH ESSEX NHS FOUNDATION TRUST,14686.0,5053.0,6,4620
,RJR,COUNTESS OF CHESTER HOSPITAL NHS FOUNDATION TRUST,6694.0,2965.0,0,1590
,RMC,BOLTON NHS FOUNDATION TRUST,10325.0,3930.0,80,2242
,RYR,UNIVERSITY HOSPITALS SUSSEX NHS FOUNDATION TRUST,18452.0,7582.0,131,6836
,Y04538,BRACKNELL URGENT CARE CENTRE WIC,0.0,0.0,0,0
,RXL,BLACKPOOL TEACHING HOSPITALS NHS FOUNDATION TRUST,8596.0,3849.0,487,2567
,RCU,SHEFFIELD CHILDREN'S NHS FOUNDATION TRUST,5551.0,409.0,0,901
,RBD,DORSET COUNTY HOSPITAL NHS FOUNDATION TRUST,4052.0,1630.0,1,1494
,RTG,UNIVERSITY HOSPITALS OF DERBY AND BURTON NHS FOUNDATION TRUST,15976.0,8107.0,72,4518
,TOTAL,TOTAL,1384382.0,466577.0,7058,389169
,RTP,SURREY AND SUSSEX HEALTHCARE NHS TRUST,8703.0,424.0,0,2541
,Y02961,SUMMERFIELD GP SURG & URGENT CARE CENTRE,0.0,0.0,0,0
,RGN,NORTH WEST ANGLIA NHS FOUNDATION TRUST,14026.0,2797.0,0,3820
,RJN,EAST CHESHIRE NHS TRUST,3897.0,1300.0,8,955
,RVW,NORTH TEES AND HARTLEPOOL NHS FOUNDATION TRUST,3322.0,0.0,0,1308
,RVY,SOUTHPORT AND ORMSKIRK HOSPITAL NHS TRUST,6942.0,1431.0,0,2285
,Y02816,EASTBOURNE STATION HEALTH CENTRE,0.0,0.0,0,0
,RBZ,NORTHERN DEVON HEALTHCARE NHS TRUST,3666.0,558.0,2,1143
,RCX,"THE QUEEN ELIZABETH HOSPITAL, KING'S LYNN, NHS FOUNDATION TRUST",5892.0,1079.0,3,2352
,RFR,THE ROTHERHAM NHS FOUNDATION TRUST,8028.0,0.0,0,2471
,RHU,PORTSMOUTH HOSPITALS UNIVERSITY NATIONAL HEALTH SERVICE TRUST,7368.0,0.0,0,3469
,RJC,SOUTH WARWICKSHIRE NHS FOUNDATION TRUST,6189.0,711.0,0,1849
,RR7,GATESHEAD HEALTH NHS FOUNDATION TRUST,4922.0,468.0,0,1737
,RJE,UNIVERSITY HOSPITALS OF NORTH MIDLANDS NHS TRUST,13577.0,4645.0,0,5630
,RJR,COUNTESS OF CHESTER HOSPITAL NHS FOUNDATION TRUST,6259.0,1199.0,0,2316
,RQM,CHELSEA AND WESTMINSTER HOSPITAL NHS FOUNDATION TRUST,15392.0,0.0,2,2455
,RA9,TORBAY AND SOUTH DEVON NHS FOUNDATION TRUST,5137.0,1174.0,2,2198
,RAE,BRADFORD TEACHING HOSPITALS NHS FOUNDATION TRUST,11534.0,1728.0,0,2553
,REF,ROYAL CORNWALL HOSPITALS NHS TRUST,5691.0,2023.0,25,2234
,RRF,"WRIGHTINGTON, WIGAN AND LEIGH NHS FOUNDATION TRUST",8399.0,1274.0,4,3217
,RTF,NORTHUMBRIA HEALTHCARE NHS FOUNDATION TRUST,8007.0,722.0,0,4907
,RWP,WORCESTERSHIRE ACUTE HOSPITALS NHS TRUST,11315.0,2970.0,0,3368
,RWY,CALDERDALE AND HUDDERSFIELD NHS FOUNDATION TRUST,13432.0,1582.0,0,2861
,RA2,ROYAL SURREY COUNTY HOSPITAL NHS FOUNDATION TRUST,5755.0,1241.0,0,2444
,RAS,THE HILLINGDON HOSPITALS NHS FOUNDATION TRUST,4903.0,1551.0,1,1469
,RBK,WALSALL HEALTHCARE NHS TRUST,6285.0,825.0,2,2736
,RGT,CAMBRIDGE UNIVERSITY HOSPITALS NHS FOUNDATION TRUST,8628.0,0.0,1,2784
,RJ2,LEWISHAM AND GREENWICH NHS TRUST,11748.0,1931.0,34,4777
,RNQ,KETTERING GENERAL HOSPITAL NHS FOUNDATION TRUST,7523.0,0.0,0,2062
,RQW,THE PRINCESS ALEXANDRA HOSPITAL NHS TRUST,8894.0,2131.0,1,2369
,RTH,OXFORD UNIVERSITY HOSPITALS NHS FOUNDATION TRUST,10758.0,1844.0,0,3411
,RWA,HULL UNIVERSITY TEACHING HOSPITALS NHS TRUST,10410.0,3148.0,0,2399
,RXW,THE SHREWSBURY AND TELFORD HOSPITAL NHS TRUST,10249.0,2895.0,12,2869
,RAJ,MID AND SOUTH ESSEX NHS FOUNDATION TRUST,26490.0,2883.0,0,8910
,RBL,WIRRAL UNIVERSITY TEACHING HOSPITAL NHS FOUNDATION TRUST,8248.0,2439.0,0,2744
,RBS,ALDER HEY CHILDREN'S NHS FOUNDATION TRUST,5450.0,402.0,0,914
,RBT,MID CHESHIRE HOSPITALS NHS FOUNDATION TRUST,6520.0,2258.0,0,2523
,RD1,ROYAL UNITED HOSPITALS BATH NHS FOUNDATION TRUST,6061.0,1408.0,0,2443
,RD8,MILTON KEYNES UNIVERSITY HOSPITAL NHS FOUNDATION TRUST,7207.0,943.0,0,1494
,RH5,SOMERSET NHS FOUNDATION TRUST,6133.0,1132.0,0,1879
,RHQ,SHEFFIELD TEACHING HOSPITALS NHS FOUNDATION TRUST,9919.0,3525.0,3,2955
,RJ6,CROYDON HEALTH SERVICES NHS TRUST,10186.0,1667.0,11,1497
,RJL,NORTHERN LINCOLNSHIRE AND GOOLE NHS FOUNDATION TRUST,12188.0,3478.0,0,3219
,RJZ,KING'S COLLEGE HOSPITAL NHS FOUNDATION TRUST,12866.0,3632.0,36,3885
,RL4,THE ROYAL WOLVERHAMPTON NHS TRUST,12518.0,2485.0,2,3610
,RLT,GEORGE ELIOT HOSPITAL NHS TRUST,5281.0,578.0,0,1351
,RP5,DONCASTER AND BASSETLAW TEACHING HOSPITALS NHS FOUNDATION TRUST,12253.0,2682.0,0,3262
,RQX,HOMERTON UNIVERSITY HOSPITAL NHS FOUNDATION TRUST,8492.0,789.0,1,1440
,RRK,UNIVERSITY HOSPITALS BIRMINGHAM NHS FOUNDATION TRUST,31358.0,9294.0,1,10971
,RTK,ASHFORD AND ST PETER'S HOSPITALS NHS FOUNDATION TRUST,9543.0,1693.0,5,2036
,RTX,UNIVERSITY HOSPITALS OF MORECAMBE BAY NHS FOUNDATION TRUST,7949.0,1300.0,4,2181
,RXK,SANDWELL AND WEST BIRMINGHAM HOSPITALS NHS TRUST,12683.0,2685.0,0,2831
,RYR,UNIVERSITY HOSPITALS SUSSEX NHS FOUNDATION TRUST,15557.0,3086.0,11,7195
,R1K,LONDON NORTH WEST UNIVERSITY HEALTHCARE NHS TRUST,10309.0,1194.0,2,6235
,RBN,ST HELENS AND KNOWSLEY TEACHING HOSPITALS NHS TRUST,10298.0,3253.0,0,4543
,RC9,BEDFORDSHIRE HOSPITALS NHS FOUNDATION TRUST,13316.0,0.0,0,4652
,RCB,YORK TEACHING HOSPITAL NHS FOUNDATION TRUST,10763.0,3097.0,4,4161
,RCU,SHEFFIELD CHILDREN'S NHS FOUNDATION TRUST,3868.0,77.0,0,515
,RGP,JAMES PAGET UNIVERSITY HOSPITALS NHS FOUNDATION TRUST,6340.0,1085.0,7,1508
,RH8,ROYAL DEVON AND EXETER NHS FOUNDATION TRUST,6613.0,2075.0,8,2096
,RHW,ROYAL BERKSHIRE NHS FOUNDATION TRUST,10196.0,1366.0,0,2670
,RK9,UNIVERSITY HOSPITALS PLYMOUTH NHS TRUST,8357.0,0.0,13,2604
,RKB,UNIVERSITY HOSPITALS COVENTRY AND WARWICKSHIRE NHS TRUST,7609.0,2150.0,0,2606
,RLQ,WYE VALLEY NHS TRUST,5370.0,1327.0,0,1520
,RM1,NORFOLK AND NORWICH UNIVERSITY HOSPITALS NHS FOUNDATION TRUST,10078.0,4420.0,11,3070
,RN5,HAMPSHIRE HOSPITALS NHS FOUNDATION TRUST,10224.0,1459.0,0,3704
,RN7,DARTFORD AND GRAVESHAM NHS TRUST,9215.0,834.0,0,2933
,RNN,NORTH CUMBRIA INTEGRATED CARE NHS FOUNDATION TRUST,7293.0,1350.0,0,2268
,RNZ,SALISBURY NHS FOUNDATION TRUST,3933.0,759.0,0,1299
,RQ3,BIRMINGHAM WOMEN'S AND CHILDREN'S NHS FOUNDATION TRUST,4172.0,243.0,0,790
,RR8,LEEDS TEACHING HOSPITALS NHS TRUST,17086.0,4590.0,0,3992
,RRV,UNIVERSITY COLLEGE LONDON HOSPITALS NHS FOUNDATION TRUST,8794.0,639.0,3,1345
,RTE,GLOUCESTERSHIRE HOSPITALS NHS FOUNDATION TRUST,8641.0,3116.0,1,3580
,RVJ,NORTH BRISTOL NHS TRUST,7335.0,1942.0,6,3173
,RWD,UNITED LINCOLNSHIRE HOSPITALS NHS TRUST,8449.0,3996.0,2,3338
